1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0
0,1,0,0,0,1,2,1,0,1,0,1,0,2,0,2
2,2,3,1,0,0,3,0,0,2,3,2,1,0,3,4
7,6,0,6,3,3,3,0,4,1,2,1,2,2,5,3
3,6,6,6,5,6,1,8,4,5,2,0,2,5,3,2
7,6,7,9,7,14,14,10,7,4,9,13,4,9,9,9
7,17,8,9,13,11,12,10,5,19,8,5,12,10,11,11
8,9,9,8,3,13,10,7,6,13,7,12,6,9,8,8
3,9,5,10,5,9,5,13,5,8,8,8,3,9,10,9
2,5,3,1,4,2,7,9,3,4,4,3,4,5,4,2
3,6,3,3,1,7,9,2,4,5,8,3,4,8,4,5
6,9,5,6,6,3,7,4,4,5,4,6,2,2,8,2
7,5,10,8,1,12,4,12,5,4,9,9,4,9,7,10
15,5,11,11,9,12,4,7,6,4,11,7,9,8,4,7
8,9,10,11,11,6,11,7,13,14,10,8,5,11,9,7
5,5,9,4,10,1,9,5,8,5,5,9,8,8,10,5
6,5,9,6,9,6,9,3,7,4,6,5,7,2,2,7
5,2,0,3,1,3,1,0,3,2,6,1,2,4,4,1
1,2,2,4,0,1,2,2,1,1,2,1,1,1,2,1
1,2,1,1,1,0,0,1,0,3,0,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
