,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
80,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
60,2,0,0,1,3,0,3,0,4,0,0,2,5,1,2,0
50,1,4,3,2,0,1,3,2,1,1,2,0,1,0,0,0
40,0,0,1,0,0,0,2,2,0,1,1,0,1,0,1,1
30,1,0,0,2,2,0,0,1,2,1,0,1,0,0,0,1
20,0,0,0,0,2,0,0,0,0,0,2,3,2,4,4,0
10,1,0,1,0,0,0,0,0,7,0,0,2,2,0,1,0
5,1,0,0,0,5,0,0,1,2,0,2,1,3,0,2,0
0,9,0,1,0,1,0,2,0,0,2,0,0,3,0,0,2
-5,0,0,1,0,3,0,3,0,1,1,4,0,0,0,1,0
-10,0,3,3,2,0,3,0,0,0,0,2,0,0,2,3,2
-20,0,0,2,3,1,0,0,5,0,1,1,0,0,0,0,0
-30,0,7,1,1,0,10,0,1,1,4,2,2,1,2,0,1
-40,0,0,1,0,0,0,0,2,0,1,1,0,0,7,2,6
-50,0,0,2,0,1,0,0,0,1,5,0,4,0,0,0,2
-60,1,2,1,0,0,3,1,0,0,2,1,1,0,0,0,0
-70,1,4,0,4,1,3,2,0,1,0,0,2,0,2,1,0
-80,0,0,3,0,0,0,4,6,0,1,2,0,0,2,2,1
-90,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,2
-100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
