,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,2,0,0,1,0,0,0,0,0,2,1,2,0,1,0,1
90,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
80,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
70,0,0,1,0,1,0,1,0,0,1,2,3,0,2,4,0
60,2,3,0,1,1,0,1,4,1,1,1,2,0,1,0,1
50,2,0,3,0,1,7,1,3,2,0,2,0,1,2,2,0
40,2,2,5,4,5,4,7,1,3,4,3,1,4,0,1,2
30,3,9,0,3,4,0,2,4,4,0,2,1,7,3,2,2
20,0,0,5,2,2,1,2,0,3,2,1,1,1,5,2,7
10,0,1,1,2,2,0,0,0,1,5,1,0,0,2,3,0
5,2,0,1,0,0,0,1,0,2,1,0,2,2,0,0,0
0,3,0,0,0,0,1,0,2,1,0,2,0,3,1,0,3
-5,2,0,2,0,0,3,1,1,0,3,0,0,0,1,0,0
-10,0,0,0,2,0,0,0,1,0,0,0,3,0,0,1,0
-20,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,2
-30,1,3,1,0,0,0,0,1,0,0,0,1,0,1,0,0
-40,0,0,0,2,3,0,0,1,0,0,1,0,0,0,1,0
-50,1,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0
-60,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,0
-70,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0
-80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1
