SVC:,,,,,,,,,,,,,,,,,,,,,,,,,
Training set:,drummer1,drummer2,drummer3,,,Training set:,drummer1,drummer2,drummer3,,,Training set:,drummer1,drummer2,drummer3,Training set:,drummer1,drummer2,drummer3,first step of each beat,Training set:,drummer1,drummer2,drummer3,first step of each beat
,,,,,,,,,,,,,,,first step of each beat,,,,test: first step of each beat,,,,,test: odd steps,
,linear,poly,rbf,sigmoid,,,linear,poly,rbf,sigmoid,,linear,poly,rbf,sigmoid,,linear,poly,rbf,sigmoid,,linear,poly,rbf,sigmoid
,-,-,-,-,,,-,-,-,-,,-,-,-,-,,-,-,-,-,,-,-,-,-
disco1,1,1,1,0.3125,,disco1,1,1,1,0.3125,,1,1,0,0,,1,1,0,0,,1,1,0,0
disco2,1,1,0.75,0.25,,disco2,1,1,0.75,0.25,,1,1,0,0,,1,1,0,0,,1,1,0,0
disco3,1,1,0.875,0.3125,,disco3,1,1,0.875,0.3125,,1,1,0,0,,1,1,0,0,,1,1,0,0
disco4,1,1,1,0.125,,disco4,1,1,1,0.125,,1,1,0,0,,1,1,0,0,,1,1,0,0
disco5,1,1,1,0,,disco5,1,1,1,0,,1,1,0,0,,1,1,0,0,,1,1,0,0
disco6,1,1,0.9375,0.125,,disco6,1,1,0.9375,0.125,,1,1,0,0,,1,1,0,0,,1,1,0,0
rock1,1,1,0.9375,0.5,,rock1,1,1,0.9375,0.5,,1,1,0,0,,1,1,0,0,,1,1,0,0
rock2,1,1,0.9375,0,,rock2,1,1,0.9375,0,,1,1,0,0,,1,1,0,0,,1,1,0,0
rock3,1,1,0.9375,0.375,,rock3,1,1,0.9375,0.375,,1,1,0,0,,1,1,0,0,,1,1,0,0
rock4,1,1,1,0,,rock4,1,1,1,0,,1,1,0,0,,1,1,0,0,,1,1,0,0
rock5,1,1,0.9375,0.125,,rock5,1,1,0.9375,0.125,,1,1,0,0,,1,1,0,0,,1,1,0,0
rock6,1,1,0.8125,0.25,,rock6,1,1,0.8125,0.25,,1,1,0,0,,1,1,0,0,,1,1,0,0
,1,1,0.927083333333333,0.197916666666667,,drummertwodisco1,0,0,0,0,,0,0,0,0.375,,0,0,0,0.75,,0,0,0,0.25
,,,,,,drummertwodisco2,0,0,0,0.0625,,0,0,0,0.5625,,0,0,0,1,,0,0,0,0.625
,,,,,,drummertwodisco3,0,0,0,0,,0,0,0,0.5,,0,0,0,1,,0,0,0,0.75
rock_drummer1,1,1,0.6875,0,,drummertwodisco4,0,0,0,0,,0,0,0,0.1875,,0,0,0,0.25,,0,0,0,0
disco_drummer1,1,1,0.625,0,,drummertwodisco5,0,0,0,0,,0,0,0,0.1875,,0,0,0,0.25,,0,0,0,0
rock_drummer2,0,0,0,0,,drummertwodisco6,0,0,0,0,,0,0,0,0.8125,,0,0,0,1,,0,0,0,0.5
disco_drummer2,0,0,0,0,,drummertworock1,0,0,0,0,,0,0,0,0.5,,0,0,0,1,,0,0,0,0.375
rock_drummer3,0,0,0.625,1,,drummertworock2,0,0,0,0,,0,0,0,0.25,,0,0,0,0.5,,0,0,0,0
disco_drummer3,0,0,0.625,1,,drummertworock3,0,0,0,0,,0,0,0,0.9375,,0,0,0,1,,0,0,0,0.625
,0.333333333333333,0.333333333333333,0.427083333333333,0.333333333333333,,drummertworock4,0,0,0,0,,0,0,0,0.0625,,0,0,0,0,,0,0,0,0
,,,,,,drummertworock5,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
drummer1_bass,1,1,0.875,0,,drummertworock6,0,0,0,0,,0,0,0,0.5,,0,0,0,0.75,,0,0,0,0
drummer1_hihat,1,1,0.5625,0,,drummerthreedisco1,0,0,0.1875,0.375,,0,0,1,0.8125,,0,0,1,1,,0,0,1,0.75
drummer2_bass,0,0,0,0,,drummerthreedisco2,0,0,0.25,0.5625,,0,0,1,0.5,,0,0,1,0,,0,0,1,0.625
drummer2_hihat,0,0,0,0,,drummerthreedisco3,0,0,0.125,0.5625,,0,0,1,0.5625,,0,0,1,0.25,,0,0,1,0.5
drummer3_bass,0,0,0.4375,1,,drummerthreedisco4,0,0,0.375,1,,0,0,1,1,,0,0,1,1,,0,0,1,1
drummer3_hihat,0,0,0.6875,1,,drummerthreedisco5,0,0,0,1,,0,0,1,0.875,,0,0,1,1,,0,0,1,1
,0.333333333333333,0.333333333333333,0.427083333333333,0.333333333333333,,drummerthreedisco6,0,0,0.0625,1,,0,0,1,0.4375,,0,0,1,0.75,,0,0,1,0.875
,,,,,,drummerthreerock1,0,0,0,1,,0,0,1,0.875,,0,0,1,0.75,,0,0,1,1
,,,,,,drummerthreerock2,0,0,0.3125,0.6875,,0,0,1,1,,0,0,1,1,,0,0,1,1
,,,,,,drummerthreerock3,0,0,0.25,0.75,,0,0,1,1,,0,0,1,1,,0,0,1,1
,,,,,,drummerthreerock4,0,0,0.25,0.75,,0,0,1,1,,0,0,1,1,,0,0,1,1
,,,,,,drummerthreerock5,0,0,0.0625,1,,0,0,1,1,,0,0,1,1,,0,0,1,1
,,,,,,drummerthreerock6,0,0,0.0625,1,,0,0,1,1,,0,0,1,1,,0,0,1,1
,,,,,,,0.333333333333333,0.333333333333333,0.362847222222222,0.336805555555556,,0.333333333333333,0.333333333333333,0.333333333333333,0.414930555555556,,0.333333333333333,0.333333333333333,0.333333333333333,0.479166666666667,,0.333333333333333,0.333333333333333,0.333333333333333,0.385416666666667
