DRUMMER 1 ,event density,Onsets-beat
036_phrase_disco_simple_slow_sticks,20.519,4.209
037_phrase_disco_simple_medium_sticks,65.881,6.074
038_phrase_disco_simple_fast_sticks,145.994,6.273
039_phrase_disco_complex_slow_sticks,289.685,5.579
040_phrase_disco_complex_medium_sticks,277.883,5.625
041_phrase_disco_complex_fast_sticks,892.654,7.935
042_phrase_rock_simple_slow_rods,409.683,2.411
043_phrase_rock_simple_medium_rods,396.352,3.291
044_phrase_rock_simple_fast_rods,985.06,4.104
045_phrase_rock_complex_slow_rods,933.778,4.471
drummer1.046_phrase_rock_complex_medium_rods.csv,1720.356,5.493
047_phrase_rock_complex_fast_rods,2720.076,7.725
