DRUMMER1 – ROCK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,accumulative,percent,slow,fast,percent,accumulative,,medium,,,DRUMMER2,,,,,,,,,Drummer3,,,,,,,,,,
0,0.1,0,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
3,0.09,0,,2.40,2.40,0.02,0.00,0.00,0.00,,0.77,0.77,,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,,
4,0.08,0,,5.60,3.20,0.03,0.00,0.00,0.00,,1.54,2.31,,0,0,0,0,0.09,3,0.0167597765,1.6759776536,1.6759776536,,,0,0,0,0,0.1,2,0.0093457944,0.9345794393,0.9345794393
3,0.07,6,,8.00,2.40,0.02,0.05,4.72,4.72,,13.85,16.15,,1.724137931,1.724137931,0.0172413793,3,0.08,3,0.0167597765,1.6759776536,3.3519553073,,,0,0,0,0,0.09,0,0,0,0.9345794393
4,0.06,6,,11.20,3.20,0.03,0.05,4.72,9.45,,13.85,30.00,,6.3218390805,4.5977011494,0.0459770115,8,0.07,0,0,0,3.3519553073,,,0.6451612903,0.6451612903,0.0064516129,1,0.08,0,0,0,0.9345794393
5,0.05,10,,15.20,4.00,0.04,0.08,7.87,17.32,,10.77,40.77,,10.3448275862,4.0229885057,0.0402298851,7,0.06,1,0.0055865922,0.5586592179,3.9106145251,,,7.7419354839,7.0967741935,0.0709677419,11,0.07,1,0.0046728972,0.4672897196,1.4018691589
6,0.04,8,,20.00,4.80,0.05,0.06,6.30,23.62,,5.38,46.15,,17.816091954,7.4712643678,0.0747126437,13,0.05,1,0.0055865922,0.5586592179,4.469273743,,,14.1935483871,6.4516129032,0.064516129,10,0.06,10,0.046728972,4.6728971963,6.0747663551
14,0.03,5,,31.20,11.20,0.11,0.04,3.94,27.56,,6.92,53.08,,25.2873563218,7.4712643678,0.0747126437,13,0.04,1,0.0055865922,0.5586592179,5.0279329609,,,21.935483871,7.7419354839,0.0774193548,12,0.05,26,0.1214953271,12.1495327103,18.2242990654
7,0.02,8,,36.80,5.60,0.06,0.06,6.30,33.86,,3.85,56.92,,36.7816091954,11.4942528736,0.1149425287,20,0.03,0,0,0,5.0279329609,,,48.3870967742,26.4516129032,0.264516129,41,0.04,64,0.2990654206,29.9065420561,48.1308411215
8,0.01,3,,43.20,6.40,0.06,0.02,2.36,36.22,,6.92,63.85,,38.5057471264,1.724137931,0.0172413793,3,0.02,3,0.0167597765,1.6759776536,6.7039106145,,,59.3548387097,10.9677419355,0.1096774194,17,0.03,32,0.1495327103,14.953271028,63.0841121495
7,0.005,8,,48.80,5.60,0.06,0.06,6.30,42.52,,4.62,68.46,,46.5517241379,8.0459770115,0.0804597701,14,0.01,9,0.0502793296,5.0279329609,11.7318435754,,,64.5161290323,5.1612903226,0.0516129032,8,0.02,21,0.0981308411,9.8130841121,72.8971962617
10,0,17,,56.80,8.00,0.08,0.13,13.39,55.91,,6.15,74.62,,56.8965517241,10.3448275862,0.1034482759,18,0.005,8,0.0446927374,4.469273743,16.2011173184,,,67.0967741935,2.5806451613,0.0258064516,4,0.01,6,0.0280373832,2.8037383178,75.7009345794
4,-0.005,8,,60.00,3.20,0.03,0.06,6.30,62.20,,1.54,76.15,,65.5172413793,8.6206896552,0.0862068966,15,0,13,0.0726256983,7.2625698324,23.4636871508,,,72.2580645161,5.1612903226,0.0516129032,8,0.005,8,0.0373831776,3.738317757,79.4392523364
12,-0.01,19,,69.60,9.60,0.10,0.15,14.96,77.17,,0.00,76.15,,72.9885057471,7.4712643678,0.0747126437,13,-0.005,12,0.0670391061,6.7039106145,30.1675977654,,,78.064516129,5.8064516129,0.0580645161,9,0,6,0.0280373832,2.8037383178,82.2429906542
3,-0.02,5,,72.00,2.40,0.02,0.04,3.94,81.10,,2.31,78.46,,79.3103448276,6.3218390805,0.0632183908,11,-0.01,24,0.1340782123,13.4078212291,43.5754189944,,,80,1.935483871,0.0193548387,3,-0.005,5,0.023364486,2.3364485981,84.5794392523
9,-0.03,10,,79.20,7.20,0.07,0.08,7.87,88.98,,1.54,80.00,,94.2528735632,14.9425287356,0.1494252874,26,-0.02,23,0.1284916201,12.8491620112,56.4245810056,,,80,0,0,0,-0.01,0,0,0,84.5794392523
5,-0.04,7,,83.20,4.00,0.04,0.06,5.51,94.49,,0.77,80.77,,100,5.7471264368,0.0574712644,10,-0.03,18,0.1005586592,10.0558659218,66.4804469274,,,80.6451612903,0.6451612903,0.0064516129,1,-0.02,1,0.0046728972,0.4672897196,85.046728972
3,-0.05,2,,85.60,2.40,0.02,0.02,1.57,96.06,,1.54,82.31,,100,0,0,0,-0.04,17,0.094972067,9.4972067039,75.9776536313,,,80.6451612903,0,0,0,-0.03,1,0.0046728972,0.4672897196,85.5140186916
6,-0.06,2,,90.40,4.80,0.05,0.02,1.57,97.64,,6.15,88.46,,100,0,0,0,-0.05,19,0.1061452514,10.6145251397,86.5921787709,,,80.6451612903,0,0,0,-0.04,1,0.0046728972,0.4672897196,85.9813084112
7,-0.07,2,,96.00,5.60,0.06,0.02,1.57,99.21,,6.15,94.62,,100,0,0,0,-0.06,12,0.0670391061,6.7039106145,93.2960893855,,,82.5806451613,1.935483871,0.0193548387,3,-0.05,1,0.0046728972,0.4672897196,86.4485981308
2,-0.08,0,,97.60,1.60,0.02,0.00,0.00,99.21,,5.38,100.00,,100,0,0,0,-0.07,9,0.0502793296,5.0279329609,98.3240223464,,,88.3870967742,5.8064516129,0.0580645161,9,-0.06,3,0.0140186916,1.4018691589,87.8504672897
3,-0.09,0,,100.00,2.40,0.02,0.00,0.00,99.21,,0.00,100.00,,100,0,0,0,-0.08,2,0.0111731844,1.1173184358,99.4413407821,,,98.7096774194,10.3225806452,0.1032258065,16,-0.07,6,0.0280373832,2.8037383178,90.6542056075
0,-0.1,1,,100.00,0.00,0.00,0.01,0.79,100.00,,0.00,100.00,,100,0,0,0,-0.09,1,0.0055865922,0.5586592179,100,,,100,1.2903225806,0.0129032258,2,-0.08,5,0.023364486,2.3364485981,92.9906542056
,,,,,,,,,,,,,,100,0,0,0,-0.1,0,0,0,100,,,100,0,0,0,-0.09,7,0.0327102804,3.2710280374,96.261682243
