,DRUMMER 1 ,# onsets,audio length (seconds),average bpm,average bpm librosa,# beats,onsets/second,event density,onset/beat,,,,DRUMMER 2 ,#onsets,# beats,audio length,average_bpm,onsets/beat,beat_density,onset/second,onset/beat,,DRUMMER 3 ,# onsets,# beats,audio length,average bpm,average bpm librosa,onsets/beat,beat_density,onset/second
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISCO,036_phrase_disco_simple_slow_sticks,66,15.68,172.266,[ 172.265625],44,4.21,20.519,1.5,,,,drummer2.038_phrase_disco_simple_slow_sticks.csv,62,36,13.88,165.22,1.722,108.431,4.467,1.722,,drummer3.055_phrase_disco_simple_slow_sticks.csv,58,20,11.04,110.598,[ 112.34714674],2.9,177.663,5.254
,037_phrase_disco_simple_medium_sticks,69,11.36,105.258,[ 135.99917763],19,6.07,65.881,3.632,,,,drummer2.039_phrase_disco_simple_medium_sticks.csv,61,18,11.68,96.288,3.389,214.642,5.223,3.389,,drummer3.056_phrase_disco_simple_medium_sticks.csv,57,19,9.28,128.815,[ 129.19921875],3,178.326,6.142
,038_phrase_disco_simple_fast_sticks,69,11,123.856,[ 123.046875],21,6.27,145.994,3.286,,,,drummer2.040_phrase_disco_simple_fast_sticks.csv,58,20,10.44,117.818,2.9,221.77,5.556,2.9,,drummer3.057_phrase_disco_simple_fast_sticks.csv,69,25,11.44,136.862,[ 143.5546875],2.76,172.556,6.031
,039_phrase_disco_complex_slow_sticks,79,14.16,92.499,[ 184.5703125],21,5.58,289.685,3.762,,,,drummer2.041_phrase_disco_complex_slow_sticks.csv,90,45,16.8,164.779,2,110.816,5.357,2,,drummer3.058_phrase_disco_complex_slow_sticks.csv,149,39,22.88,104.074,[ 103.359375],3.82,229.489,6.512
,040_phrase_disco_complex_medium_sticks,81,14.4,111.004,[ 112.34714674],26,5.63,277.883,3.115,,,,drummer2.042_phrase_disco_complex_medium_sticks.csv,61,18,12.04,94.281,3.389,235.236,5.066,3.389,,drummer3.059_phrase_disco_complex_medium_sticks.csv,159,43,21.64,125.343,[ 123.046875],3.7,206.546,7.348
,041_phrase_disco_complex_fast_sticks,93,11.72,126.908,[ 129.19921875],24,7.94,892.654,3.875,,,,drummer2.043_phrase_disco_complex_fast_sticks.csv,95,36,18.2,120.641,5.278,188.389,5.22,2.639,,drummer3.060_phrase_disco_complex_fast_sticks.csv,200,55,23.44,143.256,[ 143.5546875],3.64,210.599,8.532
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
ROCK,042_phrase_rock_simple_slow_rods,49,20.32,135.343,[ 67.99958882],44,1.11,409.683,1.114,,,,drummer2.044_phrase_rock_simple_slow_sticks.csv,81,26,19.08,86.02,3.115,201.919,4.245,3.115,,drummer3.061_phrase_rock_simple_slow_sticks.csv,82,29,18.76,95.726,[ 95.703125],2.828,178.964,4.371
,043_phrase_rock_simple_medium_rods,52,15.8,164.972,[ 86.1328125],43,1.21,396.352,1.209,,,,drummer2.045_phrase_rock_simple_medium_sticks.csv,55,18,11.52,96.962,3.056,192.349,4.774,3.056,,drummer3.062_phrase_rock_simple_medium_sticks.csv,86,30,15.2,120.413,[ 123.046875],2.867,157.87,5.658
