,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
-20,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
-30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-60,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
