1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
5,8,14,6,7,0,1,1,12,8,23,6,22,11,8,0
12,1,9,1,4,7,5,0,9,7,8,0,22,4,16,4
15,5,5,0,25,4,3,3,7,7,12,3,9,5,7,7
22,9,7,3,28,2,14,2,18,9,20,4,42,12,17,11
25,7,21,3,25,3,21,10,18,12,9,10,27,1,17,5
16,2,9,1,7,4,8,6,19,4,10,4,7,1,12,6
2,1,4,0,3,1,1,0,5,1,0,2,1,2,1,0
2,4,6,2,6,1,4,0,3,1,3,0,1,0,0,0
0,1,3,7,1,1,6,0,2,1,4,0,3,0,6,0
2,1,0,1,5,1,2,0,2,0,1,0,8,1,2,3
7,1,2,0,1,2,4,2,3,0,2,0,1,3,2,0
0,1,2,0,6,0,2,2,8,2,1,2,1,0,4,0
0,1,1,1,6,0,13,3,4,1,3,0,3,1,4,0
1,1,2,1,4,4,4,1,5,0,4,3,0,0,1,0
2,0,2,0,2,0,1,2,3,1,1,0,0,0,2,2
6,2,0,0,3,0,1,4,3,2,0,0,8,0,2,1
0,1,3,1,3,0,0,0,4,3,2,2,0,0,0,3
2,0,2,0,0,0,0,1,1,0,2,0,2,0,2,0
2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
