1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
4,3,2,0,3,1,0,2,5,0,1,2,8,0,3,0
28,3,8,9,25,4,10,13,20,5,13,10,28,8,8,11
27,3,7,16,12,4,8,14,33,6,11,13,5,5,12,11
12,7,5,11,8,4,6,10,5,5,6,8,6,2,6,10
4,3,8,3,4,2,3,2,9,1,4,1,2,1,0,0
2,1,0,1,1,0,0,2,3,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,0,0,0,0,1,2,0
2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
1,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0
2,0,0,1,0,0,2,0,0,0,2,0,2,0,1,1
4,0,0,0,1,1,0,0,4,0,3,0,0,1,2,1
2,0,2,0,0,1,0,0,4,1,3,2,1,0,2,2
2,0,1,0,3,0,1,1,1,2,1,0,3,1,2,2
7,0,1,0,2,0,1,0,1,0,0,0,4,0,0,1
4,0,2,1,1,0,2,1,2,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,5,0,0,0,1,0,1,0
6,0,0,0,2,0,0,0,5,0,0,1,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
