1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,2,0,1,1,0,1,0,0,1,4,0,2,2
5,4,6,3,13,2,6,4,5,4,6,1,18,4,4,2
8,7,9,5,22,2,12,6,4,10,12,7,14,11,11,7
5,7,6,4,23,5,3,4,3,1,4,4,23,6,6,4
0,3,3,4,8,3,3,2,0,3,1,5,5,2,1,3
3,1,0,0,2,2,3,2,1,0,0,1,0,1,0,4
0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2
0,1,0,0,0,0,0,2,0,0,0,1,0,0,2,1
1,0,0,0,1,1,1,1,0,0,0,3,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,2,2,1,0,1,1,1,0,0,0,0,0,2,0
0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1
0,0,1,1,4,0,0,0,0,1,2,0,6,0,0,0
0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0
0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
