1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,3,6,2,2,3,6,3,0,1,3,1,1,1,6,1
3,1,3,4,4,1,5,2,2,3,0,1,1,1,2,1
0,2,4,2,6,1,4,6,2,3,4,3,11,1,0,6
11,5,5,5,8,0,5,7,11,4,7,8,11,4,5,6
12,6,8,7,9,3,7,10,9,5,9,4,10,8,12,9
12,9,7,7,15,4,12,6,15,6,8,9,7,8,9,9
10,6,17,4,14,9,4,3,18,4,16,8,13,5,12,7
16,1,6,9,22,6,15,9,15,15,21,4,19,5,8,4
15,10,9,7,13,4,10,9,13,5,5,5,11,5,9,6
14,3,12,6,18,4,14,7,13,5,11,5,7,6,11,3
12,4,6,4,16,4,4,1,15,5,3,5,16,5,9,7
57,6,4,1,25,0,8,3,23,1,10,4,42,4,9,3
22,1,9,2,16,4,6,0,16,2,9,5,25,2,12,8
27,5,12,5,29,4,21,8,22,7,11,5,20,4,17,6
23,3,26,8,17,6,16,5,21,12,19,1,22,9,11,8
7,6,6,3,8,5,8,8,15,8,16,8,8,5,12,4
9,5,6,8,9,8,6,11,13,8,13,8,9,8,11,6
9,6,9,7,6,7,6,14,6,2,6,9,6,5,4,11
5,13,5,7,5,3,3,5,6,4,5,6,9,6,6,5
4,5,4,9,6,5,10,4,6,3,4,6,5,6,3,7
4,1,4,2,8,2,4,3,6,3,3,7,1,0,3,6
6,1,8,5,4,1,4,4,3,3,1,4,2,2,3,2
3,4,7,9,6,2,4,5,4,2,3,7,7,6,5,6
