1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,1,0,2,1,0,0
2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,2,2,1,1,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
0,0,0,1,5,1,1,0,1,1,2,1,2,0,1,1
4,1,0,0,3,0,0,0,1,0,0,0,2,0,2,1
0,1,3,0,6,0,3,0,3,0,1,0,0,1,0,0
2,1,0,0,6,1,0,0,4,1,0,2,4,2,1,0
16,3,2,1,12,0,1,1,13,1,0,0,21,0,2,0
11,0,2,0,9,2,1,0,7,2,2,0,18,1,2,1
12,3,5,0,18,1,9,0,15,4,7,0,8,3,10,0
8,1,11,0,4,1,8,0,5,3,10,0,6,1,6,0
0,1,3,1,1,0,2,0,1,1,5,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
