1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0
1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
0,1,1,0,3,0,1,0,1,1,2,1,4,0,0,1
3,0,3,0,1,0,1,1,3,0,0,1,3,1,0,2
3,2,1,0,3,0,2,4,2,1,2,0,1,1,3,0
3,1,3,1,1,0,6,0,3,0,4,1,1,1,3,0
2,0,3,0,4,2,2,0,7,1,5,1,5,0,6,0
4,0,5,1,6,1,3,2,3,2,10,1,4,1,2,1
3,2,2,2,3,0,2,1,4,0,0,0,3,1,5,1
5,1,9,0,8,0,10,1,4,2,5,1,2,2,5,1
8,1,4,1,6,2,3,0,8,1,0,4,4,3,5,1
21,3,3,1,7,0,6,1,11,1,8,1,11,0,7,1
7,0,7,1,5,2,4,0,8,2,4,2,7,1,5,2
16,3,5,2,7,2,14,1,10,5,8,0,6,3,10,3
8,2,18,5,7,2,12,1,10,6,14,1,8,4,8,2
2,2,5,1,2,2,3,1,2,1,9,4,1,1,7,0
1,2,0,3,1,3,1,3,4,3,1,3,3,3,1,2
3,3,3,2,1,2,2,6,1,1,3,3,0,0,0,5
0,2,0,3,1,1,1,0,2,1,0,1,2,2,3,1
0,0,0,3,1,1,2,2,1,1,0,2,1,3,0,1
2,1,1,1,1,0,0,0,1,1,0,4,0,0,0,2
0,0,0,1,2,0,0,2,0,0,0,1,0,0,0,1
0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,2
