1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,9,11,3,35,9,6,9,38,5,6,6,16,14,16,8
69,19,25,35,51,36,49,34,61,29,39,41,47,33,57,37
57,37,44,33,76,43,68,23,58,49,42,43,81,65,56,66
39,38,44,40,27,43,20,59,38,41,38,38,46,47,31,42
19,17,21,12,20,14,22,24,10,20,23,12,12,9,18,19
5,4,5,6,2,7,9,1,6,2,8,7,0,0,8,0
2,7,9,0,6,2,2,5,3,3,4,2,5,3,5,3
1,1,12,6,2,3,14,6,4,2,6,3,7,4,5,2
7,2,9,15,3,0,8,5,9,1,8,1,4,3,2,2
5,2,5,7,10,1,9,2,9,3,11,9,8,5,4,2
2,2,5,3,9,4,2,2,4,3,9,7,18,1,7,5
3,0,13,6,10,2,2,6,9,1,8,1,7,1,4,2
2,1,2,3,6,1,9,4,9,2,13,7,7,0,2,4
11,5,1,1,16,2,3,1,13,3,3,1,10,4,1,2
3,0,2,3,9,2,3,1,4,1,0,2,10,0,4,1
3,2,2,0,2,2,1,3,2,0,2,3,3,0,1,2
0,3,0,0,2,0,2,0,2,2,0,3,1,5,0,0
2,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0
2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
