1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,3,0,7,1,1,3,5,1,0,1,2,2,6,1
24,6,9,1,7,11,17,2,13,9,20,5,8,7,12,10
28,9,17,14,27,10,22,11,23,16,9,12,35,22,17,21
19,22,6,21,11,26,1,36,20,20,9,23,16,21,12,15
4,8,11,6,6,9,6,13,2,7,6,6,4,4,5,14
0,1,4,3,1,2,5,0,3,0,6,5,0,0,5,0
0,1,0,0,0,0,1,1,0,3,2,0,1,1,0,3
0,1,0,5,0,0,6,4,0,1,2,0,0,2,0,0
0,0,1,6,0,0,2,5,0,0,1,0,0,2,0,0
0,2,0,2,1,0,1,1,2,0,1,5,0,1,0,1
1,1,0,3,5,1,0,0,0,2,1,5,2,0,0,4
0,0,4,0,2,0,0,3,0,0,3,0,0,0,0,1
0,0,0,2,0,0,0,3,2,0,0,5,1,0,0,0
2,2,1,0,2,2,0,0,2,0,0,0,0,0,0,0
0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
