1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,4,3,0,10,0,1,0,14,2,1,2,3,0,2,1
22,4,6,4,14,5,10,8,16,3,6,6,12,5,11,7
8,6,7,6,18,8,15,3,10,8,7,10,20,16,6,8
12,6,10,9,4,7,3,10,7,9,8,7,6,7,6,6
6,3,10,2,4,4,5,6,3,2,5,4,3,1,6,3
3,1,3,2,0,2,4,0,2,0,2,0,0,0,1,0
1,1,3,0,1,0,1,0,0,2,0,0,1,0,3,0
0,0,3,1,1,1,6,2,1,1,3,2,3,1,2,0
1,1,4,5,2,0,4,0,3,0,2,0,0,1,0,1
3,1,3,1,5,1,4,0,2,1,3,3,3,1,2,2
2,2,2,1,3,1,0,0,1,2,7,3,6,1,3,2
0,0,6,2,3,1,2,2,5,1,3,1,4,1,2,0
0,0,0,1,2,0,3,2,3,1,5,2,3,0,2,1
6,0,1,1,5,1,2,1,5,1,1,0,3,1,1,1
1,0,1,1,3,1,1,0,2,1,0,1,3,0,2,0
1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,0,1,0,2,0,0
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
