1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,8,0,22,0,3,0,9,1,0,0,6,1,3,0
22,3,6,0,24,5,4,0,13,1,5,1,19,2,18,9
4,1,7,0,9,5,15,1,7,10,8,2,6,6,10,6
16,6,11,7,3,5,6,4,9,3,5,5,15,7,9,6
5,3,5,2,1,2,8,3,2,2,10,2,3,1,5,1
1,1,0,2,0,0,1,0,0,2,1,1,0,0,1,0
0,1,4,0,1,1,0,3,3,0,2,2,0,2,0,0
0,0,2,1,0,1,2,1,0,0,1,1,4,0,1,2
0,0,2,2,1,0,2,0,4,0,2,1,1,0,2,0
0,0,1,0,2,0,0,1,3,1,1,2,2,2,1,0
0,0,0,0,0,0,1,1,0,0,3,0,6,0,3,0
0,0,3,0,3,0,0,1,4,0,4,0,5,0,3,0
0,0,0,0,2,0,3,0,2,0,3,0,5,0,0,2
2,0,0,0,9,0,2,0,8,0,3,0,5,0,0,1
2,0,0,0,6,0,3,0,2,1,0,0,9,0,0,0
2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
