1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6,3,0,11,3,2,2,15,2,2,3,3,1,3,2
28,5,7,15,18,13,14,13,24,6,8,13,14,9,15,11
17,12,11,11,24,16,23,8,20,14,12,17,23,25,11,15
12,19,24,23,6,20,10,21,10,17,20,17,10,17,14,13
6,10,15,5,6,8,13,13,3,11,13,6,5,4,13,8
3,1,5,5,1,4,7,1,2,2,5,2,0,0,4,0
1,3,7,0,2,1,2,3,0,2,2,1,2,1,4,2
1,1,8,3,1,2,9,5,1,2,5,3,3,1,3,1
4,1,6,6,2,0,7,4,3,1,5,0,1,2,2,1
3,1,4,3,6,1,7,0,5,2,7,5,4,1,2,2
2,2,3,2,3,2,1,0,2,3,7,4,8,1,4,4
0,0,6,3,4,2,2,2,5,1,4,1,4,1,2,0
0,1,1,2,2,1,3,2,4,1,6,4,3,0,2,1
6,1,1,1,5,1,2,1,6,1,1,0,3,1,1,1
1,0,1,2,3,1,1,0,2,1,0,1,3,0,2,0
1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1
0,1,0,0,1,0,1,0,1,1,0,1,0,2,0,0
1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
