1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,1,2,0,0,4,1,2,4,2,1,2,2,5
10,8,8,24,14,17,17,27,22,8,10,23,16,14,10,13
9,20,10,14,24,17,17,3,17,17,17,23,16,23,13,17
2,6,18,8,7,6,8,15,4,11,16,5,9,10,6,15
9,4,5,2,5,2,8,0,2,3,7,1,1,0,5,0
4,1,0,1,1,4,3,0,3,0,0,0,0,0,2,0
0,3,4,0,5,0,1,0,0,0,0,0,3,0,3,0
0,0,7,0,2,1,3,1,3,1,2,1,3,2,3,0
7,2,1,3,2,0,4,0,5,1,3,0,3,0,0,0
3,0,2,1,4,1,1,0,4,2,5,0,6,1,3,0
1,1,2,0,3,0,1,0,2,0,1,2,5,1,2,1
2,0,1,6,5,1,0,0,5,1,1,0,1,1,1,1
0,0,2,0,0,1,3,0,1,2,2,1,0,0,1,0
0,3,0,0,0,0,0,0,2,3,0,1,0,3,0,0
0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1
0,2,2,0,2,2,1,2,0,0,0,2,0,0,1,2
0,3,0,0,2,0,2,0,0,0,0,3,1,4,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
