1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0,0,0,0,0,0,0,2,0,0,0,2,1,2,2
10,0,1,1,12,0,3,1,7,2,2,1,18,1,2,1
4,3,9,2,7,1,3,2,7,2,3,0,5,0,5,1
0,1,2,0,5,0,3,2,4,3,4,1,2,0,2,2
2,0,0,1,4,0,1,1,3,1,1,2,4,0,1,1
4,0,0,0,4,0,3,0,1,0,5,2,4,3,3,0
5,0,1,0,6,0,0,0,13,0,0,1,11,0,1,1
7,0,1,0,13,0,3,1,6,0,1,1,5,0,1,0
17,0,3,0,7,0,3,0,5,1,0,0,15,0,2,1
1,0,3,0,7,0,4,0,2,2,5,0,7,0,4,3
1,4,9,1,3,4,4,0,4,0,7,0,0,3,8,1
2,1,4,2,3,0,2,2,1,1,1,1,1,4,2,0
1,5,1,1,0,10,1,1,2,5,3,2,3,1,0,3
1,0,1,1,0,0,0,2,1,1,1,0,1,7,7,4
1,0,2,1,2,0,1,1,3,2,2,3,0,1,0,4
1,4,2,0,0,5,4,0,2,3,4,1,1,1,0,0
1,3,1,2,2,5,2,0,2,1,2,2,4,2,2,0
2,1,7,0,4,0,5,3,0,2,2,0,1,2,2,1
3,1,0,2,0,2,0,0,1,1,0,2,0,2,2,2
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
