1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
3,0,2,2,1,1,1,2,5,9,2,6,8,5,2,5
0,0,5,4,8,3,2,4,4,5,2,5,2,0,4,1
1,4,4,4,5,4,4,2,0,1,1,6,2,2,4,3
8,5,7,2,2,7,5,6,6,5,8,13,9,8,8,3
24,6,4,8,22,8,10,7,20,12,10,6,23,13,14,13
17,10,19,8,20,15,12,16,21,9,15,7,20,13,12,6
19,13,18,15,21,10,29,12,23,8,20,15,18,12,13,12
27,12,14,7,26,7,19,15,29,12,23,10,26,6,21,11
15,11,17,7,20,10,14,9,13,11,10,6,18,13,16,10
22,7,16,7,23,1,13,5,27,8,6,3,17,7,12,3
25,3,7,5,19,3,8,8,17,3,6,11,16,9,7,6
63,4,11,0,13,3,7,5,22,2,9,7,33,5,15,8
11,3,10,6,18,6,8,6,11,7,14,6,21,8,13,13
15,11,13,12,12,6,13,5,7,9,24,8,10,10,19,2
8,7,12,14,11,2,22,11,12,12,15,11,9,10,18,11
15,12,8,11,8,17,11,10,9,10,22,10,10,7,11,16
9,5,12,8,15,5,7,6,10,8,9,7,17,19,20,25
17,8,16,7,8,10,8,8,11,15,10,15,7,9,13,11
6,13,8,10,9,15,13,12,10,13,12,12,8,8,3,7
8,13,5,11,5,17,4,9,13,9,5,10,6,9,3,6
3,3,8,6,8,1,5,7,3,6,3,2,1,6,3,2
5,2,1,3,3,2,1,0,3,2,2,5,0,4,3,4
3,7,6,6,6,6,8,3,5,0,7,6,2,2,1,2
