1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0,0,1,0,0,1,0,3,3,1,1,3,1,0,3
0,0,2,2,1,1,1,1,1,2,0,2,0,0,1,0
0,1,3,1,4,2,1,1,0,0,0,2,0,1,0,1
4,3,2,1,1,3,2,2,3,4,3,6,3,4,4,1
13,1,1,4,9,3,8,4,6,5,5,1,10,5,7,2
7,4,13,4,8,6,7,2,11,0,8,2,3,3,7,2
9,3,10,3,10,2,16,2,10,2,12,5,9,4,5,5
11,4,6,1,9,2,10,4,8,4,12,5,11,1,8,2
9,3,7,4,6,4,6,4,6,2,4,2,5,2,6,4
10,2,10,4,5,0,10,2,10,2,5,2,6,2,5,1
14,1,4,0,6,0,4,3,6,1,2,3,2,0,4,1
21,1,6,0,4,2,5,2,8,0,3,1,10,1,4,3
6,1,6,1,6,3,5,2,4,4,12,0,7,2,3,4
5,4,8,5,5,3,9,5,2,3,15,2,2,5,10,2
0,1,8,8,3,1,12,3,4,4,6,7,4,4,8,4
7,7,6,5,4,7,4,4,4,5,9,5,2,2,5,5
4,0,6,3,3,2,4,3,2,4,2,2,7,7,6,12
4,3,6,4,3,4,2,6,5,7,5,9,1,4,7,5
2,6,2,2,4,6,4,4,5,3,7,5,2,5,1,4
1,6,2,8,2,8,1,5,5,4,0,6,2,3,0,3
1,2,2,3,4,0,2,4,0,2,0,2,1,2,1,0
2,1,0,3,2,2,0,0,1,0,0,1,0,1,0,1
2,4,2,2,2,3,3,1,3,0,1,3,0,1,0,1
